date,Open,High,Low,Close,Adjclose,Volume,Unadjustedvolume,Change,Changepercent,Vwap,Label,Changeovertime
2010-11-18,35.0,35.99,33.89,34.19,25.76,458097664,458097664,-0.81,-2.31,34.7675,"November 18, 10",-0.0231
2010-11-19,34.15,34.5,33.11,34.26,25.81,107863184,107863184,0.11,0.32211,34.005,"November 19, 10",0.0032211
2010-11-22,34.2,34.48,33.81,34.08,25.68,36657280,36657280,-0.12,-0.35088,34.1425,"November 22, 10",-0.0035088
2010-11-23,33.95,33.99,33.19,33.25,25.05,31205504,31205504,-0.7,-2.06,33.595,"November 23, 10",-0.0206
2010-11-24,33.73,33.8,33.22,33.48,25.23,26147936,26147936,-0.25,-0.74118,33.5575,"November 24, 10",-0.0074118
2010-11-26,33.41,33.81,33.21,33.81,25.47,12301246,12301246,0.4,1.2,33.56,"November 26, 10",0.012
2010-11-29,33.8,33.81,33.07,33.8,25.47,27779600,27779600,0.0,0.0,33.62,"November 29, 10",0.0
2010-11-30,33.53,34.25,33.36,34.2,25.77,57483408,57483408,0.67,2.0,33.835,"November 30, 10",0.02
2010-12-01,34.65,34.95,34.42,34.78,26.2,34636720,34636720,0.13001,0.37518,34.7,"December 01, 10",0.0037518
2010-12-02,34.92,34.98,34.51,34.68,26.13,23252032,23252032,-0.24001,-0.68729,34.7725,"December 02, 10",-0.0068729
2010-12-03,34.55,34.6,33.97,34.55,26.03,19397104,19397104,0.0,0.0,34.4175,"December 03, 10",0.0
2010-12-06,34.48,34.78,34.41,34.48,25.98,11679340,11679340,0.0,0.0,34.5375,"December 06, 10",0.0
2010-12-07,34.75,34.89,34.46,34.68,26.13,20823728,20823728,-0.07001,-0.20144,34.695,"December 07, 10",-0.0020144
2010-12-08,34.61,34.73,34.33,34.45,25.96,12606031,12606031,-0.16,-0.46229,34.53,"December 08, 10",-0.0046229
2010-12-09,34.36,34.43,33.62,33.74,25.42,18411072,18411072,-0.61999,-1.8,34.0375,"December 09, 10",-0.018
2010-12-10,33.85,33.99,33.53,33.81,25.47,11748582,11748582,-0.04001,-0.11817,33.795,"December 10, 10",-0.0011817
2010-12-13,33.96,34.05,33.7,33.8,25.47,11098316,11098316,-0.16001,-0.47114,33.8775,"December 13, 10",-0.0047114
2010-12-14,33.73,33.92,33.45,33.89,25.53,15223980,15223980,0.16,0.47436,33.7475,"December 14, 10",0.0047436
2010-12-15,33.81,34.01,33.61,33.61,25.32,10183633,10183633,-0.2,-0.59154,33.76,"December 15, 10",-0.0059154
2010-12-16,33.57,33.86,33.56,33.61,25.32,9887418,9887418,0.03999,0.11915,33.65,"December 16, 10",0.0011915
2010-12-17,33.53,34.0,33.19,34.0,25.62,35682192,35682192,0.47,1.4,33.68,"December 17, 10",0.014
2010-12-20,33.91,34.05,33.74,33.76,25.44,12478176,12478176,-0.15001,-0.44235,33.865,"December 20, 10",-0.0044235
2010-12-21,33.86,33.94,33.72,33.85,25.5,9012934,9012934,-0.00999,-0.02953337,33.8425,"December 21, 10",-0.0002953337
2010-12-22,33.72,34.95,33.53,34.92,26.31,20943968,20943968,1.2,3.56,34.28,"December 22, 10",0.0356
2010-12-23,34.67,35.52,34.62,34.81,26.23,20530864,20530864,0.14,0.40381,34.905,"December 23, 10",0.0040381
2010-12-27,34.41,34.89,34.19,34.6,26.07,7369559,7369559,0.19001,0.55217,34.5225,"December 27, 10",0.0055217
2010-12-28,35.38,35.67,35.07,35.32,26.61,23504032,23504032,-0.05999,-0.16959,35.36,"December 28, 10",-0.0016959
2010-12-29,35.47,36.3,35.25,36.02,27.14,20977856,20977856,0.55,1.55,35.76,"December 29, 10",0.0155
2010-12-30,36.1,36.98,36.02,36.82,27.74,16992768,16992768,0.72,1.99,36.48,"December 30, 10",0.0199
2010-12-31,36.84,36.96,36.57,36.86,27.77,6169578,6169578,0.02,0.05428882,36.8075,"December 31, 10",0.0005428882
2011-01-03,37.32,38.0,37.03,37.06,27.92,24887520,24887520,-0.26001,-0.69668,37.3525,"January 03, 11",-0.0069668
2011-01-04,37.1,37.99,36.68,37.9,28.56,32363400,32363400,0.79998,2.16,37.4175,"January 04, 11",0.0216
2011-01-05,37.47,38.3,37.47,38.07,28.68,22504704,22504704,0.60001,1.6,37.8275,"January 05, 11",0.016
2011-01-06,38.24,39.48,38.07,38.9,29.31,38574800,38574800,0.65998,1.73,38.6725,"January 06, 11",0.0173
